Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT126493x,0000126493,,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000126493,Taxes
Invoice Line,BPT126493x,0000126493,2349855012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,2349855012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT171093x44936,0000171093,2706675012211,$438.6900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,2754601012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,2754601012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,8300284012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,8300284012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,8404416012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126493x,0000126493,8404416012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
