Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT126488x,0000126488,,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000126488,Taxes
Invoice Line,BPT126488x,0000126488,2343886012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2343886012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2346494012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2346494012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2346506012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2346506012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2350957012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2350957012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2350968012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2350968012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2372921012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2372921012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2422895012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2422895012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2436777012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,2436777012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8281684012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8281684012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8310641012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8310641012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8400994012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8400994012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8405083012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8405083012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8405412012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT126488x,0000126488,8405412012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
