Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT117323x,0000117323,,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000117323,Taxes
Invoice Line,BPT117323x,0000117323,2341766012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,2341766012312,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,2341775012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,2341775012312,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,2341784012222,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,2341784012312,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012222,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012222,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012222,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012312,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012312,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,5121012312,,Z ,0000106211,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116509x,0000116509,8265684012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116509x,0000116509,8265684012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116509x,0000116509,8290374012212,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116509x,0000116509,8290374012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,8298822012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,8298822012312,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,8301884012222,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117323x,0000117323,8301884012312,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116509x,0000116509,PENALTY012212,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
