Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT117041x44951,0000117041,2023-01-25,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000117041,Taxes
Invoice Line,BPT117041x44951,0000117041,2343298012211,$130.4600,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2343964012211,$491.4100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44928,0000117041,2344595012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2347977012211,$251.9200,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2350042012211,$629.3800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2351206012211,$14.1000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2475929012211,$450.9200,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2475930012211,$38.9100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476003012211,$616.0700,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476005012211,$119.9500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476014012211,$73.6600,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476031012211,$137.8000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476091012211,$240.8600,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476105012211,$176.6500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476193012211,$446.2100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476306012211,$2112.9200,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476396012211,$149.6100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2476596012211,$45.9500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2481809012211,$148.2100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2692747012211,$209.5900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2709190012211,$618.9300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2730160012211,$190.8800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,2734869012211,$162.6500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44950,0000117041,5898012211,$31399.2200,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44950,0000117041,5898012211,$24117.3500,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT117041x44951,0000117041,8403178012211,$69.0900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
