Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT110103x44928,0000110103,2023-01-02,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000110103,Taxes
Invoice Line,BPT110103x44928,0000110103, PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103, PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103, PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103,.PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103,.PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x,0000110103,.PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2341643012211,$70.7300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2341643012211,$197.3300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2341643012211,$34.7100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2350287012211,$16.0500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2350287012211,$32.7100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44932,0000110103,2350287012211,$91.2800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,2723990012211,$161.6300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,2723990012211,$67.4000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,2723990012211,$26.1500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,2730084012211,$214.8500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x,0000110103,8402364012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x,0000110103,8402364012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x,0000110103,8402364012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,8404592012211,$123.3300,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44935,0000110103,8405619012211,$182.9100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103,PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103,PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT110103x44928,0000110103,PUP012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
