Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT169220x44929,0000169220,2023-01-03,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000169220,Taxes
Invoice Line,BPT169220x44929,0000169220,1007012211,$3467.7700,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,2342779012211,$11.9200,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,2696796012211,$68.7400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44953,0000169220,2713367012211,$300.5600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44953,0000169220,2713367012211,$51.6100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,2724716012211,$238.8600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,2727136012211,$558.7400,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,2730981012211,$168.6200,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5187012211,$5292.1500,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5187012211,$9083.5400,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5187012211,$494686.9400,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5187012211,$3179.2000,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5187012211,$8565.8700,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5224012211,$23145.8000,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5224012211,$14304.8100,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5414012211,$49421.1600,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44929,0000169220,5414012211,$207.3200,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x,0000169220,5414012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,82067103012211,$729.3400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,82067103012211,$1246.3900,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT169220x44930,0000169220,82067103012211,$214.0400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
