Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT111035x44935,0000111035,2023-01-09,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000111035,Taxes
Invoice Line,BPT111035x44935,0000111035,2343085012211,$900.0300,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x,0000111035,2370488012211,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44935,0000111035,2370488012211,$17867.5700,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44935,0000111035,2478330012211,$658.0100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x,0000111035,2730242012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44897,0000111035,8201088012211,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44935,0000111035,8296296012211,$5328.5300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x,0000111035,8401031012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44935,0000111035,8404185012211,$3844.8900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111035x44935,0000111035,8404696012211,$172.3300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
