Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT111535x44935,0000111535,2023-01-09,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000111535,Taxes
Invoice Line,BPT111535x44935,0000111535,2342457012211,$247.8500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2342457012211,$72.2100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2342457012211,$57.3000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2469170012211,$32.1400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2469170012211,$114.8400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2469170012211,$25.5000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2469170012211,$18.3100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2476170012211,$93.3400,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2476170012211,$585.5500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2476170012211,$163.8500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,2476170012211,$130.0100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404020012211,$145.3900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404020012211,$107.2300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404020012211,$26.6300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404020012211,$82.8300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404020012211,$502.0800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404151012211,$388.3900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404151012211,$71.5500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404151012211,$99.6600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT111535x44935,0000111535,8404151012211,$125.6000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
