Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT116606x,0000116606,,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000116606,Taxes
Invoice Line,BPT116606x,0000116606,2335096012211,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2341813012211,$155.4000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x,0000116606,2341858012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x,0000116606,2342023012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2343631012211,$339.4400,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44928,0000116606,2351510012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2351618012211,$1887.1200,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2475945012211,$811.3800,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2475992012211,$114.5100,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476174012211,$71.1100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476204012211,$342.9600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476353012211,$164.5500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476432012211,$479.9100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476472012211,$333.2800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476708012211,$79.3100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476777012211,$202.6500,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476778012211,$81.6300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2476779012211,$175.8000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2696435012211,$541.2100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,2730084012211,$222.1700,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x,0000116606,2730168012211,,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT172773x44936,0000172773,2747713012211,$476.6800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT172773x44936,0000172773,2749035012211,$3399.1600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8282162012211,$987.5300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8290943012211,$302.0800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8401873012211,$52.4600,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8403514012211,$31.8700,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8404019012211,$146.8700,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8404592012211,$127.5300,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8405556012211,$271.8100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8405619012211,$94.5100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT116606x44935,0000116606,8406378012211,$251.3100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT142637x,0000142637,HELIUM012211,,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT142637x44929,0000142637,HELIUM012211,$378892.1900,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
