Invoice,Invoice Number,Supplier Number,Invoice Date,Submit for Approval?,Handling Amount,Misc Amount,Shipping Amount,Line Level Taxation,Requester Email,Chart of Accounts,Currency,Image Scan Filename,Type of Document,Purchasing Organization,Remit To Code,Type of Invoice
invoice Line,Invoice Number,Supplier Number,Description,Price,Account Segment 1,Account Segment 2,Account Segment 3,Account Segment 4,Account Segment 5,Account Segment 6,Account Segment 7,Account Segment 8,Account Segment 9,Commodity Name,
Invoice,BPT114145x44936,0000114145,2023-01-10,No,,,,No,liz.williams@messer-us.com,US40,USD,,Invoice,,0000114145,Taxes
Invoice Line,BPT114145x44936,0000114145,2688357012211,$46.9100,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,2688357012211,$14.5500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,2688357012211,$146.8800,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,2688357012211,$14.5500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,2688357012211,$68.1900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404609012211,$20.2400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404609012211,$20.2400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404609012211,$204.3900,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404609012211,$94.9000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404609012211,$65.2700,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x,0000114145,8404967 - PUP012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x,0000114145,8404967 - PUP012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x,0000114145,8404967 - PUP012211,,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404967012211,$39.0300,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404967012211,$12.1000,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404967012211,$148.7000,Z ,0000106213,,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404967012211,$10.6400,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,8404967012211,$2.4500,K ,0000502501,0030405900,,,No WBS,Property Tax,,09-04-05,09-04-05,
Invoice Line,BPT114145x44936,0000114145,SAMSUNG012211,$85422.2900,Z ,0000114601,,,,No WBS,Property Tax,,09-04-05,09-04-05,
